,id,abbreviation,city,conference,division,full_name,name
0,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
2,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
3,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
4,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
5,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
6,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
7,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
8,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
9,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
10,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
11,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
12,13,LAC,LA,West,Pacific,Los Angeles Clippers,Clippers
13,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
14,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
15,16,MIA,Miami,East,Southeast,Miami Heat,Heat
16,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
17,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
18,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
19,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
20,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
21,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
22,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
23,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
24,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
25,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
26,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
27,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
28,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
29,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
